"ts_num","count","ts_date"
1559603400,1,2019-06-04 01:10:00
1559606400,4,2019-06-04 02:00:00
1559606700,1,2019-06-04 02:05:00
1559607000,2,2019-06-04 02:10:00
1559607300,2,2019-06-04 02:15:00
1559607600,1,2019-06-04 02:20:00
1559607900,2,2019-06-04 02:25:00
1559608200,3,2019-06-04 02:30:00
1559608500,4,2019-06-04 02:35:00
1559608800,3,2019-06-04 02:40:00
1559609100,8,2019-06-04 02:45:00
1559609400,6,2019-06-04 02:50:00
1559609700,3,2019-06-04 02:55:00
1559610000,4,2019-06-04 03:00:00
1559610300,6,2019-06-04 03:05:00
1559610600,7,2019-06-04 03:10:00
1559610900,5,2019-06-04 03:15:00
1559611200,7,2019-06-04 03:20:00
1559611500,6,2019-06-04 03:25:00
1559611800,4,2019-06-04 03:30:00
1559612100,8,2019-06-04 03:35:00
1559612400,4,2019-06-04 03:40:00
1559612700,4,2019-06-04 03:45:00
1559613000,4,2019-06-04 03:50:00
1559613300,6,2019-06-04 03:55:00
1559613600,3,2019-06-04 04:00:00
1559613900,2,2019-06-04 04:05:00
1559614200,1,2019-06-04 04:10:00
1559614500,2,2019-06-04 04:15:00
1559614800,8,2019-06-04 04:20:00
1559615100,4,2019-06-04 04:25:00
1559615400,3,2019-06-04 04:30:00
1559615700,2,2019-06-04 04:35:00
1559616000,1,2019-06-04 04:40:00
1559616300,1,2019-06-04 04:45:00
1559616600,1,2019-06-04 04:50:00
1559616900,2,2019-06-04 04:55:00
1559617200,1,2019-06-04 05:00:00
1559617500,2,2019-06-04 05:05:00
1559617800,3,2019-06-04 05:10:00
1559618100,1,2019-06-04 05:15:00
1559618400,6,2019-06-04 05:20:00
1559618700,2,2019-06-04 05:25:00
1559619300,6,2019-06-04 05:35:00
1559619900,3,2019-06-04 05:45:00
1559620200,3,2019-06-04 05:50:00
1559620500,5,2019-06-04 05:55:00
1559620800,7,2019-06-04 06:00:00
1559621100,15,2019-06-04 06:05:00
1559621400,6,2019-06-04 06:10:00
1559621700,10,2019-06-04 06:15:00
1559622000,10,2019-06-04 06:20:00
1559622300,10,2019-06-04 06:25:00
1559622600,11,2019-06-04 06:30:00
1559622900,11,2019-06-04 06:35:00
1559623200,14,2019-06-04 06:40:00
1559623500,8,2019-06-04 06:45:00
1559623800,6,2019-06-04 06:50:00
1559624100,7,2019-06-04 06:55:00
1559624400,29,2019-06-04 07:00:00
1559624700,33,2019-06-04 07:05:00
1559625000,33,2019-06-04 07:10:00
1559625300,44,2019-06-04 07:15:00
1559625600,37,2019-06-04 07:20:00
1559625900,32,2019-06-04 07:25:00
1559626200,45,2019-06-04 07:30:00
1559626500,55,2019-06-04 07:35:00
1559626800,45,2019-06-04 07:40:00
1559627100,32,2019-06-04 07:45:00
1559627400,45,2019-06-04 07:50:00
1559627700,34,2019-06-04 07:55:00
1559628000,104,2019-06-04 08:00:00
1559628300,86,2019-06-04 08:05:00
1559628600,93,2019-06-04 08:10:00
1559628900,94,2019-06-04 08:15:00
1559629200,76,2019-06-04 08:20:00
1559629500,82,2019-06-04 08:25:00
1559629800,90,2019-06-04 08:30:00
1559630100,89,2019-06-04 08:35:00
1559630400,84,2019-06-04 08:40:00
1559630700,92,2019-06-04 08:45:00
1559631000,74,2019-06-04 08:50:00
1559631300,77,2019-06-04 08:55:00
1559631600,78,2019-06-04 09:00:00
